TIME DATA - SEED 4
CPU TIME,OBJ_VALUE
2597.17,2.41769e+07
2597.22,2.40178e+07
2597.23,2.41769e+07
2597.23,2.41769e+07
2597.29,2.41769e+07
2597.3,2.41769e+07
2597.34,2.41769e+07
2597.34,2.40081e+07
2597.38,2.40178e+07
2597.39,2.41769e+07
2597.42,2.41769e+07
2597.44,2.40178e+07
2597.5,2.41769e+07
2597.51,2.41769e+07
2597.59,2.41769e+07
2597.61,2.41769e+07
2597.61,2.40178e+07
2597.65,2.41769e+07
2597.67,2.41749e+07
2597.68,2.41769e+07
2597.7,2.40178e+07
2597.73,2.41769e+07
2597.76,2.41769e+07
2597.77,2.41769e+07
2597.8,2.40178e+07
2597.81,2.41769e+07
2597.83,2.41769e+07
2597.88,2.41769e+07
2597.88,2.41769e+07
2597.9,2.41769e+07
2597.95,2.41769e+07
2597.99,2.41769e+07
2597.99,2.41769e+07
2597.99,2.41769e+07
2598.01,2.41769e+07
2598.03,2.4175e+07
2598.06,2.41769e+07
2598.09,2.41769e+07
2598.15,2.41769e+07
2598.18,2.40178e+07
2598.19,2.41769e+07
2598.21,2.41769e+07
2598.22,2.41769e+07
2598.26,2.41769e+07
2598.3,2.41769e+07
2598.32,2.40178e+07
2598.36,2.39669e+07
2598.37,2.41769e+07
2598.4,2.41769e+07
2598.44,2.41769e+07
2598.51,2.40178e+07
2598.51,2.41769e+07
2598.51,2.41769e+07
2598.54,2.41769e+07
2598.56,2.41769e+07
2598.59,2.40178e+07
2598.61,2.41769e+07
2598.63,2.41769e+07
2598.69,2.40178e+07
2598.7,2.41769e+07
2598.76,2.41769e+07
2598.77,2.41769e+07
2598.79,2.40178e+07
2598.8,2.41769e+07
2598.84,2.41769e+07
2598.88,2.40178e+07
2598.89,2.40178e+07
2598.92,2.41769e+07
2599,2.41769e+07
2599.04,2.41769e+07
2599.04,2.41769e+07
2599.07,2.41769e+07
2599.08,2.41769e+07
2599.11,2.41769e+07
2599.11,2.41175e+07
2599.13,2.41769e+07
2599.18,2.41769e+07
2599.19,2.41769e+07
2599.21,2.41769e+07
2599.25,2.41769e+07
2599.27,2.41769e+07
2599.33,2.41769e+07
2599.35,2.41769e+07
2599.36,2.41769e+07
2599.36,2.41769e+07
2599.4,2.41769e+07
2599.47,2.40178e+07
2599.47,2.41769e+07
2599.47,2.40178e+07
2599.5,2.39669e+07
2599.58,2.41769e+07
2599.59,2.40178e+07
2599.63,2.41769e+07
2599.66,2.41769e+07
2599.69,2.41769e+07
2599.69,2.40178e+07
2599.7,2.41769e+07
2599.74,2.41769e+07
2599.78,2.41769e+07
2599.8,2.41769e+07
2599.82,2.41769e+07
2599.84,2.41769e+07
2599.85,2.41769e+07
2599.9,2.41769e+07
2599.91,2.41769e+07
2599.91,2.41651e+07
2599.93,2.40178e+07
2599.98,2.41769e+07
2599.99,2.41656e+07
2600,2.41769e+07
2600.03,2.41769e+07
2600.06,2.41769e+07
2600.07,2.41769e+07
2600.11,2.40178e+07
2600.13,2.40927e+07
2600.14,2.41769e+07
2600.15,2.41769e+07
2600.18,2.41769e+07
2600.23,2.41769e+07
2600.24,2.41769e+07
2600.26,2.41769e+07
2600.3,2.41769e+07
2600.33,2.41769e+07
2600.35,2.41769e+07
2600.38,2.41655e+07
2600.4,2.41769e+07
2600.4,2.40178e+07
2600.47,2.41769e+07
2600.52,2.40178e+07
2600.55,2.41769e+07
2600.55,2.41769e+07
2600.59,2.41769e+07
2600.59,2.41769e+07
2600.65,2.40178e+07
2600.66,2.40178e+07
2600.71,2.41769e+07
2600.72,2.41769e+07
2600.73,2.41769e+07
2600.75,2.41769e+07
2600.81,2.41769e+07
2600.83,2.41769e+07
2600.86,2.41769e+07
2600.87,2.41769e+07
2600.87,2.40178e+07
2600.91,2.41769e+07
2600.97,2.40178e+07
2600.99,2.40178e+07
2601,2.41769e+07
2601.04,2.41769e+07
2601.06,2.41769e+07
2601.12,2.41769e+07
2601.15,2.40178e+07
2601.15,2.41769e+07
2601.17,2.40178e+07
2601.23,2.41769e+07
2601.23,2.41769e+07
2601.26,2.40178e+07
2601.29,2.41754e+07
2601.33,2.41769e+07
2601.33,2.41769e+07
2601.35,2.41769e+07
2601.37,2.41769e+07
2601.41,2.41769e+07
2601.42,2.41769e+07
2601.46,2.40178e+07
2601.48,2.41769e+07
2601.49,2.41769e+07
2601.49,2.41769e+07
2601.53,2.41769e+07
2601.57,2.41769e+07
2601.59,2.39616e+07
2601.61,2.41769e+07
2601.65,2.41769e+07
2601.66,2.41163e+07
2601.67,2.40178e+07
2601.71,2.41664e+07
2601.71,2.41769e+07
2601.74,2.41769e+07
2601.8,2.41769e+07
2601.81,2.41769e+07
2601.82,2.41769e+07
2601.84,2.41769e+07
2601.87,2.41769e+07
2601.89,2.41769e+07
2601.9,2.41769e+07
2601.93,2.41669e+07
2601.95,2.40178e+07
2601.96,2.41769e+07
2602.04,2.41769e+07
2602.06,2.41769e+07
2602.07,2.41769e+07
2602.1,2.41769e+07
2602.15,2.40178e+07
2602.17,2.41769e+07
2602.2,2.41769e+07
2602.21,2.41769e+07
2602.21,2.41769e+07
2602.23,2.41769e+07
2602.28,2.41769e+07
2602.3,2.41769e+07
2602.32,2.40178e+07
2602.34,2.41769e+07
2602.38,2.41769e+07
2602.42,2.41769e+07
2602.45,2.41769e+07
2602.46,2.41769e+07
2602.49,2.41769e+07
2602.54,2.41769e+07
2602.56,2.41769e+07
2602.58,2.41769e+07
2602.6,2.41769e+07
2602.63,2.41769e+07
2602.66,2.41769e+07
2602.7,2.41769e+07
2602.72,2.40178e+07
2602.75,2.39669e+07
2602.76,2.41769e+07
2602.76,2.41769e+07
2602.82,2.41769e+07
2602.84,2.41769e+07
2602.84,2.41769e+07
