TIME DATA - SEED 4
CPU TIME,OBJ_VALUE
26569.8,4.07474e+08
26570,4.06295e+08
26570.1,4.06254e+08
26570.3,4.06275e+08
26570.6,4.07511e+08
26570.7,4.0749e+08
26570.8,4.07511e+08
26570.9,4.07511e+08
26570.9,4.07511e+08
26570.9,4.0749e+08
26571,4.07499e+08
26571,4.0742e+08
26571.3,4.07502e+08
26571.5,4.07475e+08
26571.5,4.06318e+08
26571.6,4.06888e+08
26571.6,4.06846e+08
26571.7,4.07511e+08
26571.7,4.07487e+08
26571.7,4.0588e+08
26571.8,4.06906e+08
26571.8,4.07496e+08
26571.9,4.07503e+08
26572,4.05822e+08
26572.1,4.07501e+08
26572.2,4.07479e+08
26572.4,4.07509e+08
26572.5,4.075e+08
26572.5,4.06987e+08
26572.6,4.07511e+08
26572.7,4.07509e+08
26572.8,4.07224e+08
26572.9,4.07504e+08
26572.9,4.07511e+08
26573,4.07279e+08
26573.1,4.07497e+08
26573.2,4.07118e+08
26573.2,4.06664e+08
26573.3,4.06941e+08
26573.7,4.06264e+08
26573.7,4.06492e+08
26573.8,4.06305e+08
26573.9,4.07511e+08
26573.9,4.07186e+08
26574,4.06149e+08
26574.1,4.0748e+08
26574.2,4.07503e+08
26574.2,4.07502e+08
26574.5,4.06544e+08
26574.5,4.06077e+08
26574.6,4.07511e+08
26574.7,4.06189e+08
26574.9,4.07506e+08
26575.1,4.07511e+08
26575.3,4.07483e+08
26575.4,4.07513e+08
26575.4,4.07511e+08
26575.4,4.07503e+08
26575.5,4.07497e+08
26575.5,4.07392e+08
26575.6,4.07266e+08
26575.6,4.07487e+08
26575.7,4.06652e+08
26575.7,4.07231e+08
26575.8,4.07511e+08
26575.8,4.05933e+08
26575.9,4.06491e+08
26575.9,4.0719e+08
26576,4.07411e+08
26576.1,4.07488e+08
26576.1,4.07503e+08
26576.2,4.0744e+08
26576.4,4.07495e+08
26576.8,4.06325e+08
26576.8,4.07173e+08
26576.9,4.07505e+08
26577,94.07504e+08
26577,94.07504e+08

26577.1,4.07511e+08
26577.3,4.07511e+08
26577.5,4.07511e+08
26577.6,4.07478e+08
26577.7,4.07506e+08
26577.8,4.06633e+08
26577.9,4.06224e+08
26578,4.07503e+08
26578.1,4.06246e+08
26578.1,4.07509e+08
26578.3,4.07511e+08
26578.4,4.07489e+08
26578.6,4.07511e+08
26578.6,4.0751e+08
26578.6,4.07509e+08
26578.6,4.06453e+08
26578.7,4.0751e+08
26578.7,4.07507e+08
26578.7,4.07048e+08
26578.8,4.07503e+08
26578.8,4.07502e+08
26578.9,4.06799e+08
26578.9,4.06273e+08
26579,4.07501e+08
26579,4.06898e+08
26579.2,4.07141e+08
26579.2,4.07493e+08
26579.3,4.07511e+08
26579.4,4.07509e+08
26579.4,4.07489e+08
26579.5,4.07501e+08
26579.5,4.07267e+08
26579.6,4.07505e+08
26579.6,4.06218e+08
26579.7,4.07327e+08
26579.7,4.06022e+08
26579.8,4.07502e+08
26579.9,4.07113e+08
26579.9,4.07511e+08
26580,4.07502e+08
26580.1,4.07506e+08
26580.3,4.06167e+08
26580.3,4.07068e+08
26580.4,4.07488e+08
26580.4,4.07501e+08
26580.5,4.06987e+08
26580.5,4.06339e+08
26580.6,4.07222e+08
26580.6,4.07474e+08
26580.7,4.07513e+08
26581.1,4.07511e+08
26581.2,4.07494e+08
26581.3,4.06733e+08
26581.3,4.07451e+08
26581.4,4.06168e+08
26581.4,4.07043e+08
26581.4,4.06055e+08
26581.5,4.06124e+08
26581.5,4.06351e+08
26581.6,4.0675e+08
26581.6,4.07511e+08
26581.6,4.07501e+08
26581.8,4.07489e+08
26582,4.06347e+08
26582,4.06357e+08
26582.1,4.07501e+08
26582.1,4.06676e+08
26582.1,4.07501e+08
26582.1,4.07503e+08
26582.2,4.06851e+08
26582.3,4.06207e+08
26582.4,4.07493e+08
26582.7,4.06397e+08
26582.8,4.07501e+08
26582.8,4.07511e+08
26582.9,4.07417e+08
26583,4.07486e+08
26583.1,4.07501e+08
26583.3,4.07511e+08
26583.3,4.0583e+08
26583.4,4.07503e+08
26583.5,4.07511e+08
26583.6,4.07501e+08
26583.7,4.07501e+08
26583.8,4.06245e+08
26584,4.0697e+08
26584,4.07037e+08
26584.1,4.07511e+08
26584.2,4.07443e+08
26584.2,4.07509e+08
26584.3,4.07511e+08
26584.4,4.06373e+08
26584.4,4.07455e+08
26584.5,4.07511e+08
26584.5,4.07511e+08
26584.6,4.07487e+08
26584.7,4.07481e+08
26584.7,4.06935e+08
26584.8,4.06349e+08
26584.9,4.06082e+08
26584.9,4.06843e+08
26585,4.06113e+08
26585.1,4.0748e+08
26585.2,4.07508e+08
26585.2,4.07503e+08
26585.3,4.07502e+08
26585.3,4.07469e+08
26585.4,4.07505e+08
26585.4,4.07017e+08
26585.5,4.07468e+08
26585.6,4.07501e+08
26585.6,4.07499e+08
26585.7,4.07347e+08
26586,4.07501e+08
26586.2,4.06109e+08
26586.4,4.07511e+08
26586.4,4.07283e+08
26586.4,4.07511e+08
26586.5,4.07501e+08
26586.6,4.06905e+08
26586.7,4.0701e+08
26586.7,4.06117e+08
26586.7,4.07163e+08
26586.9,4.06977e+08
26587.1,4.06983e+08
26587.1,4.07511e+08
26587.4,4.07506e+08
26587.5,4.07502e+08
26587.6,4.0751e+08
26587.7,4.07366e+08
26587.8,4.0617e+08
26587.8,4.07501e+08
26588,4.07329e+08
26588,4.07511e+08
26588.1,4.0686e+08
26588.1,4.0751e+08
26588.2,4.07501e+08
26588.3,4.07511e+08
26588.3,4.07446e+08
26588.3,4.07509e+08
26588.4,4.07225e+08
26588.4,4.07499e+08
26588.6,4.0748e+08
26588.8,4.07493e+08
26588.9,4.07504e+08
26589,4.05855e+08
26589,4.07503e+08
26589.1,4.06595e+08
26589.1,4.07497e+08
26589.2,4.07123e+08
26589.2,4.07505e+08
